Player,Link
,Data processed by Daubit. https://daubit.org/
,Data used from https://www.otmnft.com/
Lauren Jackson,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+d63dc541-c2d0-46ed-9cec-c6c7541488ce
Layshia Clarendon,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+6fdbf464-9f28-45be-91aa-ac58648eba6e
Leandro Barbosa,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+c42a9e19-8998-45a1-b300-15176c81b6ec
Lindsay Whalen,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+0c6a1ea2-edd0-4959-83e3-16de8d0e5ba1
Lisa Leslie,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+fccfbf6a-894c-4908-8396-5f73527024de
Liz Cambage,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+6d7db738-afa4-41a5-b7d1-e5d3518eb736
Lou Williams,https://www.nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+e11073b8-60c0-45bc-9bbd-680842630ffa
Luke Ridnour,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+f6146cc5-40dc-4725-a6b6-01178b204c4b
Luke Walton,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+0a557bc0-7da6-48e8-985f-9e1dede3b9b6
Malachi Flynn,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+4ab6f9b3-0d7f-4990-8638-1230ee8bf8ae
Marcus Camby,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+48e35a01-b3f2-403d-8f0f-95fc0cac3eca
Marina Mabrey,https://www.nbatopshot.com/listings/p2p/69ae4a5a-6ddf-4bcd-9f7f-0d53f604ecd3+d61de9c6-926f-4c42-8f24-2b4076157651
Mario Chalmers,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+83bb6a96-deeb-47fb-8b87-e9da50f656bd
Mason Jones,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e5d69ce5-e253-438d-8420-381ef275abc6
Maya Moore,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+c5a66a02-0b8c-4f13-ac9a-da35ba44585e
Michael Finley,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+97b08a5c-c2ce-468d-b69a-6785ff4743a3
Michaela Onyenwere,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+7a90c72f-201c-4b46-8d9c-edf9491abf65
Mike Bibby,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+3dd0b018-1d84-4b24-b740-2abf75fd5864
Mike James,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8fea0407-0bd1-483d-a0dd-db67002254d2
Mo Williams,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+1f76a9fc-9422-45bf-92fc-3d07dd0240fe
Monique Billings,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+bf9b77f8-e35a-4dcc-b79b-45e8aea8f319
Moses Brown,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+026864c1-ea07-4c21-958c-794a5ee9a300
Moses Moody,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+f21d35f1-942d-4569-bb4f-d82b13bd521c
Myisha Hines-Allen,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+9f470eca-7f72-40b7-8d69-14da74db4611
Natasha Cloud,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+a305f194-f964-444e-b0f9-2bb916b8adbf
Natasha Howard,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+43dd70fb-c3ee-4c3e-a43d-bb7d1b4b89f9
Nathan Knight,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+6f07b8d6-74dd-4c9e-af2c-4bc65857bdeb
Nick Collison,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+feb7eed2-4352-4d02-98c9-1f59f0a8229a
Nico Mannion,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+dee6b556-f45d-463c-a989-88edfaa60b85
Odyssey Sims,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+af72b32c-2a7b-4842-be5d-0975945e0306
Omer Yurtseven,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+e2dff26f-7b69-4f0e-9db3-04b44bf13886
Oshae Brissett,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+8ab5268f-6a58-4ab5-8e8e-8be7601df2f8
Paul Reed,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+2fe7ab09-9263-4460-90b1-6c61fc5083a8
PJ Dozier,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+2d09eee6-dcb8-4851-a272-c587cfc0745a
Quentin Grimes,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+a1d09983-c3ae-4b4e-88a9-ad80d1320654
Quentin Richardson,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+0b430f61-3f6a-4138-b0f0-a9c41281a8d4
Rashard Lewis,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+cc8f6500-c8a1-4df6-a30a-a0395386899a
Reggie Perry,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c6d49463-fb9f-4c19-be42-44df78173a52
